loopCnt,thighDeg_RH,incPosDeg_RH,MotorRefCurrent_RH,MotorActCurrent_RH,FvectorRefCurrent_RH,accX_Global_RH,accY_Global_RH,gyroZ_Global_RH,thighDeg_LH,incPosDeg_LH,MotorRefCurrent_LH,MotorActCurrent_LH,FvectorRefCurrent_LH,accX_Global_LH,accY_Global_LH,gyroZ_Global_LH,u_RH,u_LH,EMG_Raw,EMG_Processed,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode
200,-10.800,4.999,-0.225,-0.214,0.000,3.150,8.522,1.358,11.481,18.600,0.511,0.522,0.000,3.990,7.955,-2.701,0.000,0.000,-0.234,0.000,0.000,0.000,0
201,-10.844,4.955,-0.225,-0.247,0.000,3.293,8.632,1.663,11.569,18.666,0.511,0.511,0.000,3.286,8.072,-2.762,0.000,0.000,-0.241,0.000,0.000,0.000,0
202,-10.888,4.911,-0.225,-0.236,0.000,3.195,8.458,1.572,11.657,18.754,0.511,0.500,0.000,3.186,8.122,-2.853,0.000,0.000,-0.246,0.000,0.000,0.000,0
203,-10.932,4.867,-0.225,-0.225,0.000,3.138,8.424,1.328,11.745,18.842,0.511,0.511,0.000,3.351,8.189,-2.853,0.000,0.000,-0.249,0.000,0.000,0.000,0
204,-10.976,4.823,-0.225,-0.214,0.000,3.281,8.580,1.266,11.810,18.930,0.511,0.511,0.000,3.509,7.952,-2.670,0.000,0.000,-0.251,0.000,0.000,0.000,0
205,-11.019,4.779,-0.225,-0.214,0.000,3.353,8.611,1.358,11.898,19.018,0.511,0.511,0.000,3.681,7.861,-2.396,0.000,0.000,-0.252,0.000,0.000,0.000,0
206,-11.063,4.735,-0.225,-0.247,0.000,3.279,8.594,1.297,11.986,19.084,0.511,0.511,0.000,3.643,7.969,-1.999,0.000,0.000,-0.254,0.000,0.000,0.000,0
207,-11.107,4.713,-0.225,-0.236,0.000,3.205,8.616,1.175,12.074,19.171,0.511,0.500,0.000,3.250,8.137,-2.152,0.000,0.000,-0.252,0.000,0.000,0.000,0
208,-11.151,4.669,-0.225,-0.247,0.000,3.257,8.668,1.205,12.162,19.259,0.511,0.500,0.000,3.176,8.048,-2.304,0.000,0.000,-0.250,0.000,0.000,0.000,0
209,-11.195,4.625,-0.225,-0.236,0.000,3.377,8.666,1.083,12.228,19.325,0.511,0.511,0.000,3.109,8.020,-2.487,0.000,0.000,-0.247,0.000,0.000,0.000,0
210,-11.217,4.581,-0.225,-0.214,0.000,3.509,8.685,1.022,12.316,19.413,0.511,0.511,0.000,3.336,8.039,-2.365,0.000,0.000,-0.240,0.000,0.000,0.000,0
211,-11.261,4.537,-0.214,-0.214,0.000,3.506,8.762,1.022,12.382,19.501,0.511,0.511,0.000,3.691,7.948,-2.121,0.000,0.000,-0.234,0.000,0.000,0.000,0
212,-11.305,4.515,-0.214,-0.214,0.000,3.391,8.752,1.175,12.492,19.567,0.511,0.522,0.000,3.844,7.816,-1.846,0.000,0.000,-0.227,0.000,0.000,0.000,0
213,-11.327,4.472,-0.214,-0.203,0.000,3.468,8.707,1.205,12.580,19.655,0.511,0.500,0.000,3.748,7.871,-1.602,0.000,0.000,-0.217,0.000,0.000,0.000,0
214,-11.371,4.428,-0.214,-0.214,0.000,3.549,8.704,1.328,12.667,19.743,0.511,0.500,0.000,3.336,8.003,-1.694,0.000,0.000,-0.205,0.000,0.000,0.000,0
215,-11.393,4.384,-0.214,-0.236,0.000,3.549,8.776,1.541,12.733,19.809,0.511,0.489,0.000,3.178,8.060,-1.877,0.000,0.000,-0.190,0.000,0.000,0.000,0
216,-11.437,4.362,-0.214,-0.225,0.000,3.573,8.781,1.724,12.799,19.897,0.511,0.500,0.000,3.169,8.115,-1.938,0.000,0.000,-0.174,0.000,0.000,0.000,0
217,-11.481,4.318,-0.214,-0.225,0.000,3.600,8.752,1.907,12.887,19.984,0.500,0.522,0.000,3.396,8.072,-1.999,0.000,0.000,-0.150,0.000,0.000,0.000,0
218,-11.503,4.274,-0.214,-0.236,0.000,3.657,8.802,2.029,12.975,20.050,0.500,0.522,0.000,3.784,7.988,-1.938,0.000,0.000,-0.121,0.000,0.000,0.000,0
219,-11.547,4.252,-0.214,-0.225,0.000,3.523,8.755,1.816,13.063,20.138,0.500,0.511,0.000,3.856,7.976,-1.755,0.000,0.000,-0.093,0.000,0.000,0.000,0
220,-11.569,4.208,-0.214,-0.203,0.000,3.514,8.678,1.846,13.151,20.226,0.500,0.500,0.000,3.633,7.967,-1.633,0.000,0.000,-0.072,0.000,0.000,0.000,0
221,-11.591,4.164,-0.214,-0.192,0.000,3.760,8.834,2.152,13.217,20.292,0.500,0.511,0.000,3.391,8.070,-1.968,0.000,0.000,-0.050,0.000,0.000,0.000,0
222,-11.635,4.120,-0.214,-0.214,0.000,3.818,8.877,2.579,13.305,20.380,0.500,0.511,0.000,3.504,8.156,-2.274,0.000,0.000,-0.027,0.000,0.000,0.000,0
223,-11.657,4.098,-0.214,-0.225,0.000,3.772,8.764,2.762,13.393,20.468,0.500,0.511,0.000,4.047,8.036,-1.816,0.000,0.000,-0.003,0.000,0.000,0.000,0
224,-11.701,4.054,-0.214,-0.214,0.000,3.691,8.673,2.945,13.480,20.534,0.500,0.500,0.000,3.916,8.003,-1.328,0.000,0.000,0.020,0.000,0.000,0.000,0
225,-11.723,4.010,-0.214,-0.225,0.000,3.643,8.666,3.159,13.568,20.622,0.500,0.500,0.000,3.485,8.077,-1.450,0.000,0.000,0.045,0.000,0.000,0.000,0
