loopCnt,thighDeg_RH,incPosDeg_RH,MotorRefCurrent_RH,MotorActCurrent_RH,FvectorRefCurrent_RH,accX_Global_RH,accY_Global_RH,gyroZ_Global_RH,thighDeg_LH,incPosDeg_LH,MotorRefCurrent_LH,MotorActCurrent_LH,FvectorRefCurrent_LH,accX_Global_LH,accY_Global_LH,gyroZ_Global_LH,u_RH,u_LH,EMG_Raw,EMG_Processed,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode
200,-26.906,-15.568,0.000,0.000,0.000,0.000,9.631,-0.015,-24.423,-11.459,0.000,0.005,0.000,-0.080,10.141,-0.076,0.000,0.000,-0.065,0.000,0.000,0.000,0
201,-26.906,-15.568,0.000,0.005,0.000,-0.051,9.746,-0.046,-24.423,-11.459,0.000,0.005,0.000,0.023,10.083,-0.107,0.000,0.000,-0.066,0.000,0.000,0.000,0
202,-26.906,-15.568,0.000,0.005,0.000,-0.018,9.755,-0.168,-24.445,-11.459,0.000,0.005,0.000,0.126,10.059,-0.015,0.000,0.000,-0.067,0.000,0.000,0.000,0
203,-26.906,-15.568,0.000,0.000,0.000,0.092,9.662,-0.168,-24.445,-11.459,0.000,0.005,0.000,0.056,10.086,0.015,0.000,0.000,-0.067,0.000,0.000,0.000,0
204,-26.928,-15.568,0.000,0.005,0.000,0.097,9.633,0.000,-24.445,-11.459,0.000,0.000,0.000,-0.054,10.110,-0.015,0.000,0.000,-0.068,0.000,0.000,0.000,0
205,-26.928,-15.568,0.000,0.005,0.000,-0.016,9.683,0.046,-24.445,-11.459,0.000,-0.005,0.000,-0.006,10.088,-0.198,0.000,0.000,-0.068,0.000,0.000,0.000,0
206,-26.928,-15.568,0.000,-0.005,0.000,-0.016,9.693,0.046,-24.445,-11.459,0.000,0.000,0.000,0.083,10.047,-0.137,0.000,0.000,-0.068,0.000,0.000,0.000,0
207,-26.928,-15.568,0.000,0.005,0.000,0.073,9.662,-0.015,-24.445,-11.459,0.000,0.005,0.000,0.090,10.081,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
208,-26.928,-15.568,0.000,0.005,0.000,0.051,9.683,-0.229,-24.467,-11.459,0.000,0.000,0.000,-0.032,10.112,-0.046,0.000,0.000,-0.067,0.000,0.000,0.000,0
209,-26.928,-15.568,0.000,-0.005,0.000,-0.059,9.585,-0.259,-24.445,-11.459,0.000,0.005,0.000,-0.059,10.107,-0.107,0.000,0.000,-0.066,0.000,0.000,0.000,0
