loopCnt,thighDeg_RH,incPosDeg_RH,MotorRefCurrent_RH,MotorActCurrent_RH,FvectorRefCurrent_RH,accX_Global_RH,accY_Global_RH,gyroZ_Global_RH,thighDeg_LH,incPosDeg_LH,MotorRefCurrent_LH,MotorActCurrent_LH,FvectorRefCurrent_LH,accX_Global_LH,accY_Global_LH,gyroZ_Global_LH,u_RH,u_LH,EMG_Raw,EMG_Processed,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode
200,12.821,27.126,0.000,0.000,0.000,1.656,8.484,11.185,11.613,24.247,0.000,-0.005,0.000,1.974,8.764,10.941,0.000,0.000,-0.004,0.000,0.000,0.000,7
201,12.887,27.192,0.000,0.005,0.000,1.524,8.477,11.246,11.679,24.313,0.000,-0.016,0.000,1.273,8.788,10.636,0.000,0.000,-0.005,0.000,0.000,0.000,7
202,12.953,27.236,0.000,0.000,0.000,1.349,8.407,11.154,11.767,24.401,0.000,0.000,0.000,1.404,8.685,10.208,0.000,0.000,-0.003,0.000,0.000,0.000,7
203,12.997,27.301,0.000,0.000,0.000,1.337,8.446,11.124,11.832,24.489,0.000,-0.027,0.000,1.715,8.594,10.269,0.000,0.000,-0.003,0.000,0.000,0.000,7
204,13.063,27.367,0.000,-0.005,0.000,1.373,8.506,11.246,11.920,24.555,0.000,-0.005,0.000,1.754,8.611,10.391,0.000,0.000,-0.005,0.000,0.000,0.000,7
205,13.107,27.433,0.000,0.000,0.000,1.126,8.348,10.788,12.008,24.643,0.000,0.000,0.000,1.790,8.568,10.117,0.000,0.000,-0.007,0.000,0.000,0.000,7
206,13.151,27.499,0.000,-0.038,0.000,0.818,8.204,10.117,12.096,24.731,0.000,-0.005,0.000,1.787,8.405,9.751,0.000,0.000,-0.007,0.000,0.000,0.000,7
207,13.195,27.565,0.000,-0.049,0.000,0.889,8.276,9.842,12.184,24.818,0.000,0.000,0.000,1.457,8.541,9.262,0.000,0.000,-0.007,0.000,0.000,0.000,7
208,13.261,27.631,0.000,0.016,0.000,1.220,8.324,9.781,12.272,24.906,0.000,-0.005,0.000,1.452,8.585,8.865,0.000,0.000,-0.007,0.000,0.000,0.000,7
209,13.305,27.697,0.000,-0.005,0.000,1.126,8.182,9.506,12.338,24.994,0.000,0.005,0.000,1.926,8.285,9.018,0.000,0.000,-0.005,0.000,0.000,0.000,7
210,13.349,27.741,0.000,0.049,0.000,1.122,8.146,9.445,12.448,25.082,0.000,0.000,0.000,2.178,8.031,9.537,0.000,0.000,0.002,0.000,0.000,0.000,7
211,13.415,27.807,0.000,0.027,0.000,1.387,8.269,9.537,12.536,25.148,0.000,-0.005,0.000,1.924,7.974,9.781,0.000,0.000,0.003,0.000,0.000,0.000,7
212,13.458,27.873,0.000,0.016,0.000,1.165,8.197,9.262,12.623,25.236,0.000,-0.005,0.000,1.593,8.142,10.056,0.000,0.000,0.008,0.000,0.000,0.000,7
213,13.502,27.939,0.000,0.016,0.000,0.760,8.051,8.774,12.711,25.324,0.000,0.016,0.000,1.567,8.120,9.934,0.000,0.000,0.008,0.000,0.000,0.000,7
214,13.568,28.005,0.000,-0.005,0.000,1.160,8.175,8.865,12.799,25.412,0.000,0.005,0.000,1.438,8.110,9.598,0.000,0.000,0.006,0.000,0.000,0.000,7
